j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,12.023984,2.108922,9.915062,1.073796,0.188336,0.442730,1024.000000
0,1,12.181906,2.204319,9.977587,1.060474,0.191744,0.434365,1025.000000
0,2,12.436439,2.417504,10.018935,1.117874,0.218094,0.449890,1024.000000
0,3,12.183215,2.226282,9.956932,1.091477,0.200182,0.445648,1024.500000
0,4,12.306819,2.336881,9.969939,1.103390,0.210126,0.446632,1024.200000
0,5,12.172661,2.283238,9.889423,1.094526,0.205770,0.444378,1024.166667
0,6,12.433972,2.460175,9.973796,1.116443,0.221215,0.447614,1024.428571
0,7,12.387501,2.427740,9.959761,1.109641,0.217783,0.445929,1024.125000
0,8,12.436818,2.447817,9.989000,1.112047,0.219138,0.446455,1024.111111
0,9,12.533739,2.555903,9.977836,1.132364,0.231843,0.450261,1024.000000
0,10,12.499310,2.507639,9.991671,1.127779,0.227152,0.450313,1024.000000
0,11,12.434810,2.446709,9.988101,1.125007,0.222042,0.451482,1024.250000
0,12,12.454043,2.457191,9.996851,1.127504,0.223092,0.452206,1024.076923
0,13,12.449090,2.451179,9.997911,1.131456,0.223345,0.454055,1024.000000
0,14,12.444820,2.434818,10.010002,1.129348,0.221515,0.453917,1024.066667
0,15,12.435739,2.429448,10.006291,1.132519,0.221755,0.455382,1024.187500
0,16,12.444454,2.440119,10.004335,1.132633,0.222556,0.455039,1024.000000
0,17,12.476881,2.466102,10.010779,1.138804,0.225614,0.456595,1024.055556
0,18,12.467062,2.455371,10.011691,1.133963,0.223880,0.455041,1024.052632
0,19,12.522496,2.476959,10.045538,1.138323,0.225671,0.456326,1024.100000
0,20,12.504605,2.468996,10.035610,1.135944,0.224780,0.455582,1024.000000
0,21,12.494666,2.457057,10.037608,1.131476,0.223033,0.454222,1024.136364
0,22,12.497360,2.462513,10.034847,1.132058,0.223574,0.454242,1024.130435
0,23,12.551408,2.482910,10.068498,1.135527,0.225095,0.455216,1024.041667
0,24,12.549489,2.492133,10.057356,1.134747,0.225779,0.454484,1024.040000
0,25,12.594877,2.520951,10.073925,1.140443,0.228744,0.455849,1024.000000
0,26,12.544553,2.478350,10.066204,1.133288,0.224552,0.454368,1024.037037
0,27,12.501503,2.462325,10.039178,1.128012,0.222832,0.452590,1024.142857
0,28,12.508658,2.472321,10.036337,1.129572,0.223910,0.452831,1024.034483
0,29,12.570704,2.530924,10.039780,1.137335,0.229816,0.453760,1024.066667
0,30,12.588809,2.531084,10.057725,1.136406,0.229308,0.453549,1024.000000
0,31,12.586871,2.521270,10.065601,1.135925,0.228342,0.453792,1024.093750
0,32,12.586896,2.523717,10.063179,1.136565,0.228670,0.453947,1024.030303
0,33,12.606686,2.538366,10.068319,1.137563,0.229790,0.453886,1024.029412
0,34,12.590609,2.528124,10.062485,1.135842,0.228796,0.453523,1024.000000
0,35,12.578118,2.515474,10.062644,1.133735,0.227467,0.453134,1024.027778
0,36,12.572694,2.509544,10.063150,1.133902,0.227034,0.453434,1024.000000
0,37,12.554101,2.497581,10.056520,1.129364,0.225442,0.451961,1024.000000
0,38,12.547242,2.494488,10.052754,1.128405,0.225078,0.451664,1024.000000
0,39,12.558318,2.504601,10.053718,1.129023,0.225884,0.451569,1024.050000
0,40,12.525546,2.483384,10.042161,1.126658,0.224044,0.451307,1024.048780
0,41,12.534555,2.483388,10.051167,1.126500,0.223842,0.451329,1024.047619
0,42,12.517338,2.469116,10.048222,1.124207,0.222426,0.450890,1024.000000
0,43,12.522226,2.479270,10.042956,1.124763,0.223350,0.450707,1024.045455
0,44,12.521099,2.476517,10.044582,1.124224,0.223005,0.450609,1024.022222
0,45,12.532327,2.475603,10.056724,1.125235,0.222909,0.451163,1024.000000
0,46,12.523897,2.468956,10.054941,1.124757,0.222349,0.451204,1024.000000
0,47,12.533069,2.486161,10.046908,1.126539,0.224125,0.451207,1024.000000
0,48,12.523179,2.476956,10.046223,1.126434,0.223417,0.451509,1024.020408
0,49,12.505086,2.465469,10.039618,1.124545,0.222328,0.451108,1024.020000
0,50,12.503170,2.472596,10.030574,1.124506,0.222987,0.450759,1024.019608
0,51,12.506245,2.477335,10.028910,1.125361,0.223526,0.450918,1024.019231
0,52,12.525925,2.489216,10.036708,1.126889,0.224528,0.451180,1024.113208
0,53,12.510392,2.477164,10.033228,1.125416,0.223421,0.450997,1024.018519
0,54,12.502728,2.475947,10.026781,1.124681,0.223292,0.450694,1024.018182
0,55,12.513411,2.482768,10.030643,1.125010,0.223757,0.450626,1024.017857
0,56,12.513467,2.488235,10.025232,1.125035,0.224244,0.450396,1024.000000
0,57,12.540947,2.502975,10.037973,1.127116,0.225467,0.450824,1024.000000
0,58,12.545815,2.507844,10.037971,1.127097,0.225797,0.450650,1024.016949
0,59,12.552950,2.512235,10.040715,1.128277,0.226298,0.450989,1024.000000
0,60,12.545153,2.505416,10.039737,1.127808,0.225718,0.451045,1024.016393
0,61,12.527663,2.496433,10.031230,1.125973,0.224858,0.450558,1024.000000
0,62,12.539332,2.502482,10.036850,1.127638,0.225527,0.451055,1024.015873
0,63,12.557107,2.514679,10.042428,1.130829,0.226999,0.451915,1024.093750
1,0,225.360530,2.664846,222.695684,0.219176,0.002592,0.108292,1025.000000
1,1,228.642714,2.369102,226.273612,0.216938,0.002256,0.107341,1024.000000
1,2,228.212409,1.971863,226.240547,0.216220,0.001874,0.107173,1024.000000
1,3,225.406717,1.937166,223.469552,0.213082,0.001836,0.105623,1024.250000
1,4,226.120238,2.071328,224.048910,0.211707,0.001939,0.104884,1024.000000
1,5,225.934456,1.980905,223.953551,0.212426,0.001860,0.105283,1024.000000
1,6,225.278409,2.221343,223.057067,0.213046,0.002107,0.105470,1024.000000
1,7,226.061872,2.199245,223.862627,0.214674,0.002093,0.106290,1024.000000
1,8,226.318736,2.147295,224.171441,0.214554,0.002040,0.106257,1024.000000
1,9,226.685045,2.158169,224.526876,0.214838,0.002050,0.106394,1024.000000
1,10,226.541735,2.233930,224.307805,0.214144,0.002114,0.106015,1024.000000
1,11,226.363975,2.171979,224.191996,0.214568,0.002059,0.106254,1024.000000
1,12,227.038742,2.167361,224.871381,0.214850,0.002051,0.106399,1024.076923
1,13,227.252497,2.168478,225.084018,0.214314,0.002045,0.106134,1024.000000
1,14,226.632533,2.291209,224.341324,0.213949,0.002165,0.105892,1024.000000
1,15,227.008976,2.229405,224.779571,0.214446,0.002107,0.106169,1024.062500
1,16,227.794480,2.250008,225.544472,0.215164,0.002127,0.106519,1024.000000
1,17,228.125642,2.179503,225.946139,0.215161,0.002059,0.106551,1024.000000
1,18,228.170178,2.153857,226.016320,0.215403,0.002036,0.106684,1024.000000
1,19,228.220438,2.140988,226.079449,0.215301,0.002022,0.106640,1024.000000
1,20,228.528255,2.156494,226.371761,0.214981,0.002030,0.106475,1024.000000
1,21,228.374356,2.191561,226.182795,0.214935,0.002064,0.106435,1024.000000
