j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,12.300207,2.390071,9.910136,1.104739,0.214663,0.445038,1025.000000
0,1,12.408794,2.431982,9.976812,1.090422,0.213671,0.438376,1024.500000
0,2,12.323434,2.304476,10.018958,1.091341,0.203899,0.443721,1024.000000
0,3,12.139767,2.180563,9.959204,1.075979,0.193112,0.441433,1024.250000
0,4,12.257263,2.286829,9.970433,1.095813,0.204569,0.445622,1024.000000
0,5,12.168369,2.277477,9.890893,1.078445,0.201920,0.438263,1024.000000
0,6,12.518544,2.540983,9.977562,1.111461,0.225822,0.442820,1024.142857
0,7,12.513505,2.553159,9.960346,1.115946,0.227918,0.444014,1024.125000
0,8,12.538231,2.548085,9.990145,1.120435,0.227890,0.446273,1024.000000
0,9,12.583327,2.605401,9.977926,1.128412,0.233941,0.447236,1024.000000
0,10,12.588554,2.598288,9.990266,1.127883,0.233076,0.447403,1024.181818
0,11,12.564729,2.576523,9.988205,1.130383,0.231984,0.449200,1024.250000
0,12,12.565296,2.567727,9.997568,1.126241,0.230357,0.447942,1024.000000
0,13,12.734293,2.736645,9.997647,1.147529,0.247511,0.450009,1024.071429
0,14,12.717826,2.708224,10.009602,1.148268,0.245301,0.451484,1024.200000
0,15,12.717194,2.711129,10.006065,1.150036,0.245910,0.452063,1024.250000
0,16,12.660653,2.656293,10.004361,1.141379,0.240371,0.450504,1024.000000
0,17,12.636637,2.625883,10.010754,1.137970,0.237365,0.450303,1024.000000
0,18,12.620579,2.608860,10.011719,1.135825,0.235654,0.450085,1024.052632
0,19,12.725685,2.679592,10.046092,1.146950,0.242432,0.452259,1024.050000
0,20,12.673775,2.638102,10.035674,1.143289,0.238807,0.452241,1024.000000
0,21,12.764142,2.725422,10.038720,1.155655,0.247957,0.453849,1024.045455
0,22,12.752352,2.716808,10.035544,1.154566,0.247120,0.453723,1024.086957
0,23,12.786746,2.717921,10.068825,1.156020,0.246838,0.454591,1024.041667
0,24,12.753402,2.695925,10.057477,1.152326,0.244681,0.453822,1024.040000
0,25,12.753243,2.679615,10.073629,1.151090,0.242948,0.454071,1024.038462
0,26,12.744504,2.678044,10.066459,1.148084,0.242299,0.452893,1024.074074
0,27,12.682500,2.642607,10.039893,1.142342,0.239045,0.451649,1024.071429
0,28,12.659936,2.623708,10.036229,1.139799,0.237219,0.451290,1024.068966
0,29,12.659046,2.619867,10.039179,1.139709,0.236837,0.451436,1024.133333
0,30,12.649974,2.592267,10.057706,1.137877,0.234177,0.451850,1024.000000
0,31,12.659986,2.593878,10.066107,1.138035,0.234139,0.451948,1024.000000
0,32,12.682303,2.619060,10.063244,1.143178,0.237175,0.453001,1024.030303
0,33,12.687611,2.619270,10.068340,1.144519,0.237338,0.453590,1024.029412
0,34,12.671992,2.609764,10.062228,1.143101,0.236449,0.453326,1024.028571
0,35,12.671768,2.609608,10.062160,1.142677,0.236323,0.453177,1024.083333
0,36,12.652415,2.589246,10.063169,1.141414,0.234535,0.453440,1024.000000
0,37,12.674506,2.617968,10.056538,1.143427,0.237106,0.453160,1024.000000
0,38,12.668098,2.615326,10.052771,1.143590,0.236994,0.453298,1024.000000
0,39,12.670896,2.616501,10.054395,1.144120,0.237135,0.453492,1024.050000
0,40,12.638919,2.596353,10.042566,1.142546,0.235502,0.453522,1024.000000
0,41,12.649206,2.597727,10.051479,1.144809,0.235878,0.454466,1024.000000
0,42,12.656723,2.608502,10.048220,1.145324,0.236796,0.454264,1024.000000
0,43,12.632889,2.589483,10.043406,1.142507,0.234957,0.453775,1024.022727
0,44,12.646679,2.601977,10.044702,1.143401,0.235986,0.453707,1024.022222
0,45,12.670420,2.614056,10.056364,1.145080,0.236955,0.454063,1024.043478
0,46,12.661304,2.606563,10.054741,1.144493,0.236306,0.454093,1024.021277
0,47,12.655927,2.609197,10.046729,1.143825,0.236490,0.453668,1024.020833
0,48,12.654258,2.608351,10.045907,1.143995,0.236465,0.453765,1024.020408
0,49,12.647741,2.607970,10.039771,1.143657,0.236470,0.453593,1024.000000
0,50,12.633596,2.603217,10.030379,1.143055,0.236162,0.453446,1024.039216
0,51,12.632163,2.603111,10.029052,1.142507,0.236054,0.453227,1024.000000
0,52,12.652728,2.615547,10.037180,1.144219,0.237132,0.453544,1024.056604
0,53,12.637955,2.605165,10.032790,1.142856,0.236177,0.453340,1024.037037
0,54,12.618834,2.591834,10.027000,1.140232,0.234816,0.452708,1024.000000
