j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,13.103185,3.096500,10.006684,1.211796,0.286368,0.462714,137.000000
0,1,11.836626,2.279543,9.557083,1.073883,0.207939,0.432972,132.000000
0,2,12.096694,2.354556,9.742138,1.130178,0.220860,0.454659,135.333333
0,3,11.882854,2.253319,9.629535,1.090678,0.207797,0.441440,132.500000
0,4,12.144295,2.373475,9.770820,1.090641,0.213430,0.438605,130.200000
0,5,12.093964,2.238986,9.854978,1.069564,0.199116,0.435224,128.000000
0,6,12.114841,2.192045,9.922796,1.075962,0.195517,0.440222,128.714286
0,7,12.001544,2.086678,9.914866,1.063600,0.185778,0.438911,128.250000
0,8,12.128843,2.163130,9.965712,1.072878,0.192036,0.440421,128.000000
0,9,12.461712,2.298783,10.162929,1.103270,0.204182,0.449544,128.300000
0,10,12.314379,2.210595,10.103784,1.087682,0.196002,0.445840,127.909091
0,11,12.153859,2.169376,9.984483,1.056994,0.189572,0.433711,125.583333
0,12,12.163705,2.160762,10.002942,1.060858,0.189257,0.435800,126.000000
0,13,12.038573,2.098767,9.939806,1.047057,0.183434,0.431812,125.500000
0,14,12.105530,2.134778,9.970753,1.057398,0.187420,0.434989,125.866667
0,15,12.286520,2.248819,10.037701,1.063102,0.194655,0.434223,124.875000
0,16,12.091882,2.157109,9.934774,1.046948,0.186768,0.430090,125.000000
0,17,12.139566,2.198322,9.941244,1.058131,0.191916,0.433108,125.833333
0,18,12.350516,2.339089,10.011427,1.099161,0.211002,0.444079,128.052632
0,19,12.209271,2.265798,9.943473,1.089928,0.204644,0.442642,128.600000
0,20,12.142585,2.223565,9.919020,1.087553,0.201217,0.443168,129.095238
0,21,12.181282,2.222244,9.959037,1.090752,0.200960,0.444896,129.045455
0,22,12.168222,2.199759,9.968463,1.089158,0.198800,0.445179,129.000000
0,23,12.152075,2.161882,9.990193,1.084462,0.194974,0.444744,128.541667
0,24,12.073494,2.114858,9.958636,1.077746,0.190725,0.443511,128.560000
0,25,12.184573,2.184291,10.000282,1.090526,0.197598,0.446464,128.846154
0,26,12.116062,2.137731,9.978331,1.079843,0.192945,0.443449,128.185185
0,27,12.053373,2.098507,9.954866,1.075907,0.189528,0.443189,128.428571
0,28,11.994630,2.049673,9.944957,1.068373,0.184942,0.441715,128.103448
0,29,11.921276,2.031410,9.889866,1.064288,0.183612,0.440338,128.466667
0,30,12.036664,2.095169,9.941495,1.071787,0.188506,0.441640,128.193548
0,31,12.095947,2.149778,9.946169,1.077327,0.193380,0.441973,128.218750
0,32,12.156811,2.192968,9.963842,1.083935,0.197470,0.443232,128.363636
0,33,12.153255,2.196202,9.957053,1.084141,0.197801,0.443170,128.470588
0,34,12.084195,2.160827,9.923368,1.078207,0.194614,0.441797,128.485714
0,35,12.035659,2.128299,9.907361,1.074941,0.191763,0.441589,128.611111
0,36,12.056690,2.146132,9.910558,1.074463,0.192798,0.440832,128.459459
0,37,12.118739,2.180840,9.937899,1.081188,0.196138,0.442525,128.526316
0,38,12.086205,2.165916,9.920289,1.078537,0.194803,0.441867,128.564103
0,39,12.203247,2.229462,9.973785,1.090529,0.200870,0.444830,128.675000
0,40,12.203328,2.232281,9.971047,1.089949,0.200970,0.444490,128.634146
0,41,12.188577,2.219254,9.969323,1.089197,0.199850,0.444673,128.690476
0,42,12.180271,2.210945,9.969326,1.089252,0.199198,0.445027,128.813953
0,43,12.148152,2.205436,9.942716,1.087381,0.198855,0.444263,129.000000
0,44,12.184272,2.222966,9.961307,1.087047,0.199616,0.443715,128.666667
0,45,12.153173,2.211137,9.942036,1.084749,0.198607,0.443071,128.717391
0,46,12.101531,2.188504,9.913027,1.080861,0.196645,0.442108,128.851064
0,47,12.225850,2.312275,9.913575,1.095868,0.209432,0.443218,129.166667
0,48,12.186495,2.279742,9.906753,1.091513,0.206414,0.442549,129.061224
0,49,12.150302,2.250610,9.899692,1.085471,0.203538,0.440966,128.680000
0,50,12.171570,2.246457,9.925113,1.088059,0.203224,0.442417,128.764706
0,51,12.139829,2.218429,9.921400,1.084467,0.200616,0.441925,128.653846
0,52,12.179804,2.257507,9.922297,1.091272,0.205034,0.443119,128.962264
0,53,12.269674,2.310102,9.959572,1.100755,0.210123,0.445316,129.037037
0,54,12.265861,2.290546,9.975315,1.098653,0.208136,0.445258,128.836364
0,55,12.290094,2.311197,9.978897,1.099990,0.209722,0.445134,128.767857
0,56,12.246316,2.285126,9.961190,1.096209,0.207350,0.444429,128.754386
0,57,12.242710,2.276612,9.966098,1.095050,0.206415,0.444317,128.620690
0,58,12.268680,2.302063,9.966617,1.097962,0.208806,0.444578,128.711864
0,59,12.243177,2.289486,9.953691,1.096937,0.207815,0.444561,128.866667
0,60,12.210953,2.262687,9.948266,1.093219,0.205317,0.443951,128.754098
0,61,12.246407,2.286944,9.959463,1.097548,0.207747,0.444901,128.887097
0,62,12.231704,2.272910,9.958794,1.094210,0.206194,0.444008,128.634921
0,63,12.226498,2.268070,9.958428,1.092283,0.205475,0.443404,128.468750
1,0,129.669322,0.000000,129.669322,0.382006,0.000000,0.191003,1.000000
1,1,107.883736,0.000000,107.883736,0.288185,0.000000,0.144092,1.500000
1,2,75.870234,0.000000,75.870234,0.198600,0.000000,0.099300,1.333333
1,3,138.122985,0.000000,138.122985,0.312952,0.000000,0.156476,1.250000
1,4,136.221233,0.000000,136.221233,0.276891,0.000000,0.138445,1.200000
1,5,136.221233,0.000000,136.221233,0.230742,0.000000,0.115371,1.000000
1,6,176.331011,0.000000,176.331011,0.255699,0.000000,0.127849,1.142857
1,7,189.616241,0.566562,189.049678,0.338424,0.001689,0.168368,1.375000
1,8,167.361049,0.495742,166.865308,0.302210,0.001501,0.150354,1.333333
1,9,154.099552,0.440659,153.658892,0.281556,0.001351,0.140102,1.300000
1,10,163.712752,0.396593,163.316158,0.322731,0.001228,0.160752,1.636364
1,11,153.123752,0.360540,152.763213,0.298935,0.001126,0.148904,1.583333
1,12,188.200531,2.261292,185.939239,0.373891,0.004993,0.184449,1.769231
1,13,187.704324,2.087346,185.616978,0.368210,0.004636,0.181787,1.785714
1,14,176.091548,1.938250,174.153298,0.345549,0.004327,0.170611,1.733333
1,15,176.091548,1.938250,174.153298,0.323952,0.004057,0.159948,1.625000
1,16,181.464594,1.809034,179.655561,0.367221,0.003818,0.181701,1.647059
1,17,181.678487,1.695969,179.982518,0.367046,0.003606,0.181720,1.722222
1,18,185.231080,1.596206,183.634874,0.372096,0.003416,0.184340,1.736842
1,19,181.922864,1.507528,180.415336,0.358096,0.003245,0.177425,1.700000
1,20,180.184107,1.428184,178.755923,0.353811,0.003091,0.175360,1.761905
