j,i,wait,delay,service,n_node,n_queue,rho,job
0,0,11.396871,1.845364,9.551507,1.051241,0.170215,0.440513,131.000000
0,1,12.009839,2.466397,9.543442,1.101450,0.225951,0.437750,131.000000
0,2,11.931628,2.003338,9.928290,1.052453,0.179739,0.436357,126.666667
0,3,11.813576,2.185122,9.628454,1.037162,0.193854,0.421654,126.250000
0,4,11.992470,2.217833,9.774637,1.087838,0.202786,0.442526,130.200000
0,5,12.111919,2.298526,9.813393,1.126166,0.215683,0.455242,133.500000
0,6,12.235687,2.310666,9.925020,1.122437,0.213733,0.454352,131.857143
0,7,12.195665,2.284986,9.910679,1.092517,0.206519,0.442999,128.625000
0,8,12.094459,2.149283,9.945176,1.072474,0.193125,0.439675,127.222222
0,9,12.330068,2.219104,10.110964,1.075077,0.195458,0.439809,125.500000
0,10,12.226048,2.091631,10.134417,1.056420,0.183465,0.436478,124.363636
0,11,12.134075,2.048218,10.085857,1.045749,0.179101,0.433324,123.833333
0,12,12.133582,2.043266,10.090316,1.044770,0.178323,0.433224,123.769231
0,13,12.128942,2.109823,10.019119,1.053332,0.186092,0.433620,124.857143
0,14,12.050894,2.045849,10.005045,1.047895,0.180486,0.433705,124.933333
0,15,12.398749,2.366320,10.032429,1.102928,0.218283,0.442322,126.750000
0,16,12.250426,2.316672,9.933755,1.083337,0.212423,0.435457,125.882353
0,17,12.224447,2.277151,9.947296,1.075642,0.207773,0.433935,125.222222
0,18,12.322071,2.316924,10.005147,1.086974,0.211474,0.437750,125.526316
0,19,12.360163,2.338675,10.021488,1.093043,0.213608,0.439718,125.850000
0,20,12.241044,2.273629,9.967415,1.082505,0.207532,0.437487,125.904762
0,21,12.244393,2.264674,9.979719,1.087520,0.207241,0.440139,126.590909
0,22,12.245958,2.249780,9.996178,1.096536,0.207043,0.444747,127.695652
0,23,12.250099,2.232838,10.017260,1.095496,0.205082,0.445207,127.583333
0,24,12.201536,2.212377,9.989159,1.094093,0.203495,0.445299,128.080000
0,25,12.227362,2.227081,10.000281,1.095457,0.204425,0.445516,128.076923
0,26,12.216597,2.211665,10.004932,1.094131,0.202807,0.445662,128.074074
0,27,12.204426,2.219442,9.984984,1.092882,0.203302,0.444790,128.214286
0,28,12.128009,2.164574,9.963435,1.085849,0.198220,0.443815,128.206897
0,29,12.040222,2.136197,9.904024,1.077551,0.195471,0.441040,128.166667
0,30,12.110217,2.152210,9.958007,1.081593,0.196354,0.442620,127.967742
0,31,12.109098,2.132510,9.976588,1.078376,0.194073,0.442151,127.625000
0,32,12.137347,2.147166,9.990180,1.081705,0.195415,0.443145,127.757576
0,33,12.079326,2.121704,9.957622,1.078762,0.193308,0.442727,128.058824
0,34,12.098448,2.153943,9.944505,1.083341,0.196809,0.443266,128.400000
0,35,12.068372,2.145064,9.923307,1.083018,0.196300,0.443359,128.666667
0,36,12.078723,2.135372,9.943351,1.084299,0.195378,0.444461,128.729730
0,37,12.110489,2.152330,9.958160,1.084910,0.196334,0.444288,128.500000
0,38,12.084095,2.145794,9.938302,1.084319,0.195962,0.444178,128.743590
0,39,12.185957,2.186542,9.999415,1.090701,0.198888,0.445906,128.525000
0,40,12.188045,2.194786,9.993259,1.094154,0.200221,0.446967,128.951220
0,41,12.187641,2.187775,9.999866,1.090532,0.198955,0.445788,128.547619
0,42,12.162266,2.168517,9.993749,1.089691,0.197333,0.446179,128.744186
0,43,12.087612,2.132864,9.954748,1.079247,0.193816,0.442716,128.181818
0,44,12.086539,2.120186,9.966354,1.075927,0.192190,0.441868,127.800000
0,45,12.065402,2.110279,9.955124,1.073187,0.191105,0.441041,127.695652
0,46,12.001546,2.067549,9.933997,1.065186,0.187205,0.438990,127.361702
0,47,11.951083,2.050916,9.900166,1.061473,0.185754,0.437860,127.500000
